date,avg_csat
01-12-2024,4.016977928692699
02-12-2024,3.993517017828201
03-12-2024,4.053763440860215
04-12-2024,4.1599264705882355
05-12-2024,3.842
06-12-2024,3.8155737704918034
07-12-2024,3.7230443974630023
08-12-2024,3.8346938775510204
09-12-2024,3.8544303797468356
10-12-2024,3.756989247311828
11-12-2024,3.6192660550458715
12-12-2024,3.940659340659341
13-12-2024,3.6881287726358147
14-12-2024,3.815028901734104
15-12-2024,3.926977687626775
16-12-2024,3.8223684210526314
17-12-2024,3.965675057208238
18-12-2024,4.120274914089347
